98,120,17
98,120,12
98,119,21
96,120,16
95,120,61
96,115,30
95,116,7
94,116,73
93,115,44
91,117,29
90,117,34
87,119,68
96,108,0
99,104,46
83,120,31
98,104,30
94,107,63
93,107,22
93,107,12
87,113,27
100,99,42
83,116,2
83,115,38
79,119,11
83,114,62
98,98,36
94,101,44
82,113,30
80,115,22
93,101,13
81,113,46
74,120,47
80,113,1
93,99,26
86,106,36
83,109,49
78,114,18
75,117,52
99,92,63
82,109,53
100,90,17
85,105,37
79,110,63
82,106,13
79,109,63
70,118,55
98,89,37
67,120,69
90,95,55
87,98,54
72,113,18
70,115,31
88,96,27
87,97,25
86,97,2
77,106,26
63,120,72
83,99,36
75,107,12
69,113,9
92,89,45
87,94,66
78,103,40
68,113,33
63,118,58
97,83,25
93,87,20
92,88,9
81,99,41
75,105,62
75,105,44
71,109,10
67,113,35
66,114,26
61,119,39
93,86,53
84,94,22
77,100,9
75,102,12
70,107,5
60,117,25
82,94,39
81,95,16
59,117,0
97,78,69
95,80,23
83,92,13
77,98,75
75,100,9
63,112,56
62,113,70
87,87,35
82,92,73
60,114,50
94,79,55
89,84,51
85,88,18
74,99,62
64,109,25
97,75,74
88,84,72
83,89,35
70,102,67
66,106,68
98,73,3
95,76,54
95,76,42
75,96,42
63,108,31
94,76,39
89,81,7
88,82,30
79,91,18
66,104,67
60,110,40
58,112,40
55,115,0
95,73,7
85,83,15
69,99,40
65,103,37
58,110,28
99,68,69
98,69,74
74,93,7
73,94,22
72,95,44
55,112,41
91,75,20
91,75,10
69,97,28
49,117,21
100,65,48
88,77,74
84,81,17
80,85,16
73,92,30
73,92,27
62,103,57
61,104,70
82,82,20
54,110,51
54,110,30
100,63,1
73,90,13
60,103,4
53,110,11
53,110,6
98,64,5
46,116,30
42,120,25
90,71,29
82,79,16
58,103,16
51,110,25
46,115,10
44,117,32
99,61,35
97,63,55
97,63,37
76,83,55
50,109,31
41,118,24
97,61,46
90,68,69
84,74,32
83,75,5
81,77,29
68,90,53
67,91,37
65,93,24
41,117,0
85,72,13
51,106,39
100,56,31
95,61,23
86,70,19
79,77,58
70,86,39
69,87,5
64,92,14
54,102,20
52,104,63
49,107,15
76,79,47
57,98,41
56,99,25
53,102,58
52,103,26
44,111,19
100,54,39
89,65,20
78,76,66
78,76,47
74,80,2
54,100,46
42,112,62
42,112,57
97,56,61
87,66,19
84,69,13
83,70,34
57,96,37
51,102,70
47,106,73
42,111,71
35,118,27
96,56,63
91,61,14
82,70,8
77,75,14
68,84,1
43,109,58
34,118,74
92,59,31
91,60,66
59,92,75
50,101,38
37,114,0
97,53,67
82,68,35
80,70,72
77,73,40
54,96,31
47,103,54
91,58,15
79,70,11
77,72,43
75,74,73
63,86,64
46,103,56
36,113,45
98,50,11
94,54,9
90,58,48
88,60,53
77,71,73
47,101,65
98,49,23
57,90,62
49,98,10
92,54,41
90,56,49
73,73,67
50,96,28
48,98,59
41,105,30
26,120,54
86,59,39
72,73,33
71,74,41
56,89,4
48,97,25
42,103,15
32,113,32
30,115,66
30,115,19
27,118,33
100,44,68
93,51,36
80,64,3
58,86,44
46,98,65
46,98,17
38,106,8
30,114,73
93,50,42
93,50,0
87,56,67
86,57,64
70,73,19
68,75,61
55,88,8
47,96,63
79,63,33
76,66,14
73,69,27
69,73,48
65,77,47
54,88,58
52,90,33
44,98,28
41,101,5
38,104,19
32,110,20
24,118,55
22,120,48
80,61,31
64,77,34
44,97,58
44,97,38
38,103,68
30,111,32
79,61,32
50,90,58
41,99,15
98,41,72
79,60,73
76,63,0
53,86,71
49,90,10
44,95,8
39,100,3
31,108,47
99,39,39
84,54,54
70,68,4
66,72,4
63,75,55
60,78,21
57,81,48
55,83,30
48,90,72
48,90,64
39,99,51
39,99,28
26,112,75
99,38,47
79,58,4
70,67,10
31,106,21
99,37,21
87,49,70
81,55,63
77,59,67
69,67,57
55,81,65
39,97,19
37,99,39
30,106,46
29,107,56
84,51,7
81,54,38
74,61,74
73,62,2
72,63,52
64,71,5
42,93,62
30,105,9
98,36,1
86,48,67
78,56,57
78,56,41
61,73,44
58,76,47
44,90,66
38,96,12
31,103,61
56,77,48
40,93,59
15,118,3
14,119,11
88,44,53
82,50,38
75,57,23
72,60,68
70,62,30
25,107,17
17,115,17
17,115,0
15,117,32
13,119,58
100,31,6
93,38,30
81,50,17
77,54,45
75,56,67
73,58,37
60,71,25
58,73,61
58,73,40
56,75,72
48,83,7
31,100,46
31,100,10
29,102,74
15,116,58
97,33,6
86,44,31
83,47,23
26,104,72
23,107,73
19,111,21
14,116,65
100,29,55
83,46,70
82,47,71
68,61,17
64,65,10
64,65,4
51,78,62
49,80,56
36,93,50
31,98,41
21,108,63
91,37,46
87,41,73
77,51,23
62,66,3
55,73,65
50,78,2
38,90,10
32,96,25
85,42,63
79,48,12
75,52,0
67,60,44
65,62,22
34,93,42
23,104,4
8,119,33
93,33,52
79,47,60
73,53,56
69,57,52
60,66,13
54,72,11
14,112,54
13,113,54
7,119,21
6,120,2
80,45,56
45,80,66
31,94,69
26,99,49
22,103,34
6,119,64
93,31,53
82,42,35
81,43,55
67,57,48
59,65,39
43,81,34
40,84,17
39,85,16
22,102,51
78,45,37
70,53,2
63,60,32
55,68,1
42,81,72
28,95,56
68,54,13
67,55,35
59,63,5
95,26,12
94,27,74
53,68,66
51,70,0
47,74,64
46,75,48
27,94,44
26,95,57
20,101,69
6,115,4
2,119,67
57,63,3
30,90,20
29,91,22
27,93,20
27,93,13
4,116,0
3,117,3
84,35,66
78,41,25
66,53,57
62,57,17
53,66,25
52,67,46
33,86,31
28,91,9
2,117,47
1,118,60
84,34,41
82,36,61
80,38,34
56,62,65
51,67,48
23,95,32
20,98,12
2,116,8
88,29,13
80,37,27
79,38,63
57,60,12
52,65,52
52,65,26
35,82,58
11,106,67
5,112,18
100,16,14
86,30,45
84,32,4
53,63,6
46,70,43
20,96,26
11,105,63
10,106,44
5,111,9
73,42,55
10,105,0
2,113,22
93,21,51
92,22,55
89,25,63
87,27,72
86,28,29
69,45,42
26,88,56
12,102,56
69,44,48
62,51,9
29,84,33
99,13,13
91,21,31
73,39,31
71,41,69
69,43,43
41,71,74
41,71,34
32,80,6
28,84,27
21,91,67
16,96,2
13,99,15
12,100,61
2,110,42
92,19,34
77,34,51
66,45,6
63,48,33
47,64,47
43,68,30
42,69,75
39,72,38
98,12,51
98,12,38
84,26,30
69,41,16
65,45,73
64,46,23
63,47,1
60,50,39
57,53,31
54,56,56
48,62,28
37,73,48
36,74,73
16,94,56
6,104,31
100,9,51
82,27,31
81,28,22
73,36,7
70,39,5
58,51,12
18,91,54
85,23,66
48,60,51
44,64,18
30,78,53
7,101,24
96,11,54
95,12,15
70,37,24
57,50,68
47,60,11
66,40,71
25,81,5
14,92,10
87,18,51
41,64,22
22,83,5
21,84,43
17,88,67
10,95,30
96,8,42
61,43,66
60,44,43
41,63,15
29,75,38
16,88,12
8,96,35
77,26,51
69,34,40
64,39,21
53,50,74
44,59,44
18,85,27
71,31,14
64,38,19
49,53,52
41,61,4
82,19,36
79,22,10
74,27,43
70,31,61
55,46,67
52,49,58
51,50,17
42,59,29
42,59,22
35,66,53
26,75,44
23,78,34
16,85,23
11,90,25
73,27,50
