15,20,9
13,21,10
12,22,3
13,19,8
11,21,9
11,21,3
10,22,2
10,22,1
8,24,8
8,24,0
13,18,4
6,24,4
12,17,9
9,20,0
11,17,2
8,20,2
4,24,10
10,17,10
6,21,4
5,22,7
13,13,10
13,13,10
8,18,10
5,21,1
14,11,10
10,15,0
8,17,7
4,21,0
3,22,10
15,9,7
15,9,5
14,10,8
10,14,2
14,9,1
14,9,0
13,10,1
2,21,4
10,12,8
8,14,8
7,15,6
6,16,1
1,21,3
1,21,1
14,7,7
14,7,2
14,7,0
10,11,4
5,16,8
5,16,6
11,9,6
4,16,7
3,17,3
3,17,0
10,9,5
7,12,0
5,14,1
15,3,4
3,15,6
1,17,3
7,10,7
4,13,8
3,14,5
2,15,3
13,3,6
13,3,1
13,2,0
10,5,6
10,5,2
9,6,8
9,6,4
6,9,7
5,10,4
2,13,4
13,1,8
12,2,5
8,6,8
11,2,8
11,2,0
10,3,4
7,6,4
5,8,8
2,11,1
9,3,9
9,3,5
8,4,1
6,6,6
2,10,2
4,7,7
8,2,5
1,9,7
5,4,7
4,5,4
4,5,2
4,4,9
6,1,7
6,1,6
4,3,5
3,4,9
1,6,10
1,5,3
